No,Name,YR,POS,po,a,e,pb,ci,sba,csb,indp,intp,fpct
00,Caleb Bowers,Sr,Catcher/Pitcher,16.0,1.0,1.0,0,0,6.0,0,0,0,.944
1,Warren Wilson,So,Outfield,0.0,0.0,0.0,0,0,0,0,0,0,.000
3,Camryn Warfield,So,Pitcher,0,0,0,0,0,0,0,0,0,.000
4,Matt Armstrong,Fifth Year,Pitcher,0.0,2.0,0.0,0,0,2.0,0,0,0,1.000
5,Austin Taylor,Sr,First Base,112.0,10.0,1.0,0,0,0,0,4.0,0,.992
6,Henry Craig,So,Pitcher,0.0,3.0,0.0,0,0,7.0,0,0,0,1.000
7,Chase Gartner,So,First Base,0.0,0.0,0.0,0,0,0,0,0,0,.000
8,Baxter Tedesco,Fr,Infield,6.0,21.0,3.0,0,0,0,0,2.0,0,.900
9,Callum McAtee,Fr,Outfield,0.0,0.0,0.0,0,0,0,0,0,0,.000
10,Bryce Dreher,Sr,Catcher,67.0,4.0,0.0,2.0,0,19.0,1.0,2.0,0,1.000
11,Nathan Hale,So,Pitcher,1.0,1.0,0.0,0,0,0,0,0,0,1.000
12,Drew Bowles,So,Pitcher,1.0,1.0,1.0,0,0,3.0,0,0,0,.667
13,Noah Godfrey,Sr,Pitcher,0,0,0,0,0,0,0,0,0,.000
14,Henry Mitcham,Sr,Infield,11.0,27.0,1.0,0,0,0,0,2.0,0,.974
15,Mason Draper,Fr,Outfield,0,0,0,0,0,0,0,0,0,.000
16,Gabe Dillard,Fifth Year,Pitcher,1.0,3.0,0.0,0,0,1.0,0,1.0,0,1.000
17,Ethan Tiller,Sr,Catcher,0.0,0.0,0.0,0,0,0,0,0,0,.000
18,Ethan Dillon,Fr,Outfield,20.0,0.0,1.0,0,0,0,0,0,0,.952
19,Chris Hedinger,So,Outfield,15.0,1.0,0.0,0,0,0,0,0,0,1.000
20,Landon Fleming,So,Catcher,0,0,0,0,0,0,0,0,0,.000
21,Connor Arnold,Sr,Pitcher,0.0,2.0,1.0,0,0,1.0,0,0,0,.667
22,Luke Patton,Jr,Pitcher,0.0,2.0,0.0,0,0,4.0,2.0,0,0,1.000
24,Colin McElfresh,Sr,Outfield,4.0,0.0,1.0,0,0,0,0,0,0,.800
25,Tristan Cooper,Fr,Pitcher,0.0,1.0,0.0,0,0,3.0,0,0,0,1.000
26,Seita Shiratori,Jr,Infield,13.0,13.0,3.0,0,0,0,0,1.0,0,.897
27,Braden Becker,Sr,Pitcher,0,0,0,0,0,0,0,0,0,.000
28,Houston Manning,Jr,First Base,0.0,0.0,0.0,0,0,0,0,0,0,.000
29,Trevor Watkins,Fr,Catcher,3.0,0.0,0.0,0,0,0,0,0,0,1.000
30,Giancarlo Gonzalez,Fr,Pitcher,2.0,2.0,0.0,0,0,1.0,0,0,0,1.000
31,Max Finn,Fr,Infield,13.0,29.0,4.0,0,0,0,0,4.0,0,.913
32,Ashton Miller,So,Outfield,0.0,0.0,0.0,0,0,0,0,0,0,.000
33,Logan McNair,Jr,Pitcher,0.0,0.0,0.0,0,0,0,0,0,0,.000
34,Tyler Minton,Jr,Pitcher,0,0,0,0,0,0,0,0,0,.000
35,Kemper Dotson,Jr,Pitcher,0.0,0.0,0.0,0,0,2.0,0,0,0,.000
36,Brady McFarland,Fr,Pitcher,0.0,0.0,0.0,0,0,0,0,0,0,.000
37,Brody Rogers,Fr,Pitcher,0.0,0.0,0.0,0,0,0,0,0,0,.000
38,Calvin Schubert,Sr,Outfield,2.0,0.0,0.0,0,0,0,0,0,0,1.000
39,Brayden Offenbacher,So,Pitcher,2.0,0.0,0.0,0,0,1.0,0,0,0,1.000
40,Jacob Moberly,Sr,Pitcher,0.0,1.0,0.0,0,0,0,0,0,0,1.000
41,Zack Fryman,So,Catcher,0,0,0,0,0,0,0,0,0,.000
43,Camden McAtee,Jr,Outfield,0.0,0.0,0.0,0,0,0,0,0,0,.000
44,Riley Hill,Jr,Utility,33.0,5.0,1.0,0,0,0,0,1.0,0,.974
45,Cole Mischel,Fr,Pitcher,0,0,0,0,0,0,0,0,0,.000
46,Bryer Jones,Fr,Catcher,0,0,0,0,0,0,0,0,0,.000
47,Braxton Grubb,Fr,Pitcher,0,0,0,0,0,0,0,0,0,.000
48,Vinny DeSalvo,Fr,Catcher,0,0,0,0,0,0,0,0,0,.000
49,Lake Wilson,Fr,Infield,0,0,0,0,0,0,0,0,0,.000
77,Zach Fleming,Fr,Pitcher,0,0,0,0,0,0,0,0,0,.000
