No,Name,YR,POS,era,cg,sho,cbo,h,r,er,ip,bb,k,double,triple,hr,ab,bf,wp,hbp,bk,sfa,sha,cia,kl,ibb,win,loss,save,fly,ground,picked,leadoff,wrunners,vsleft,vsright,w2outs
4,Matt Armstrong,Fifth Year,Pitcher,4.50,0,0,0,7.0,3.0,3.0,11.3,2.0,3.0,1.0,0,0,25.0,28.0,1.0,0,0,0,1.0,0,0,0,1.0,0,2.0,4.0,10.0,0.0,0,0,0,0,0
6,Henry Craig,So,Pitcher,6.35,0,0,0,18.0,14.0,12.0,34.0,10.0,9.0,3.0,0,0,63.0,85.0,1.0,7.0,0,3.0,2.0,0,3.0,0,1.0,3.0,0,24.0,16.0,0.0,0,0,0,0,0
11,Nathan Hale,So,Pitcher,0.00,0,0,0,5.0,0,0,14.0,4.0,5.0,0,0,0,23.0,27.0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,0.0,0,0,0,0,0
12,Drew Bowles,So,Pitcher,3.46,0,0,0,11.0,7.0,5.0,26.0,4.0,18.0,2.0,0,0,51.0,58.0,2.0,3.0,1.0,0,0,0,4.0,0,1.0,1.0,0,7.0,14.0,0.0,0,0,0,0,0
16,Gabe Dillard,Fifth Year,Pitcher,3.86,0,0,0,10.0,4.0,4.0,17.733333333333334,4.0,11.0,2.0,0,0,33.0,42.0,0,3.0,0,0,2.0,0,2.0,1.0,1.0,0,0,10.0,4.0,0.0,0,0,0,0,0
21,Connor Arnold,Sr,Pitcher,4.73,0,0,0,17.0,9.0,7.0,26.433333333333334,5.0,15.0,2.0,0,1.0,57.0,64.0,3.0,2.0,0,0,0,0,6.0,0,0,0,0,11.0,12.0,0.0,0,0,0,0,0
22,Luke Patton,Jr,Pitcher,2.65,0,0,0,17.0,7.0,5.0,34.0,9.0,10.0,2.0,0,1.0,69.0,79.0,1.0,0,0,0,1.0,0,0,0,2.0,1.0,0,8.0,19.0,0.0,0,0,0,0,0
25,Tristan Cooper,Fr,Pitcher,18.00,0,0,0,10.0,10.0,10.0,9.3,8.0,3.0,2.0,0,0,23.0,33.0,0,1.0,0,0,1.0,0,2.0,0,0,0,0,3.0,8.0,0.0,0,0,0,0,0
30,Giancarlo Gonzalez,Fr,Pitcher,0.96,0,0,0,9.0,3.0,1.0,18.433333333333334,3.0,4.0,4.0,1.0,0,36.0,39.0,0,0,0,0,0,0,1.0,1.0,0,0,0,10.0,13.0,0.0,0,0,0,0,0
33,Logan McNair,Jr,Pitcher,6.75,0,0,0,2.0,1.0,1.0,2.4333333333333336,0,1.0,1.0,0,0,6.0,6.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,2.0,0.0,0,0,0,0,0
35,Kemper Dotson,Jr,Pitcher,0.00,0,0,0,1.0,0,0,1.7333333333333334,3.0,1.0,0,0,0,4.0,8.0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,2.0,1.0,0.0,0,0,0,0,0
36,Brady McFarland,Fr,Pitcher,0.00,0,0,0,1.0,0,0,4.0,1.0,0,0,0,0,7.0,9.0,0,1.0,0,0,0,0,0,0,0,0,0,5.0,1.0,0.0,0,0,0,0,0
37,Brody Rogers,Fr,Pitcher,27.00,0,0,0,3.0,3.0,3.0,2.0,2.0,1.0,0,1.0,0,6.0,8.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,1.0,0.0,0,0,0,0,0
39,Brayden Offenbacher,So,Pitcher,1.69,0,0,0,1.0,1.0,1.0,10.433333333333334,3.0,6.0,0,0,1.0,17.0,22.0,0,1.0,0,0,1.0,0,0,1.0,0,0,0,3.0,7.0,0.0,0,0,0,0,0
40,Jacob Moberly,Sr,Pitcher,4.50,0,0,0,4.0,2.0,2.0,7.300000000000001,3.0,5.0,2.0,0,0,16.0,21.0,0,1.0,0,0,1.0,0,1.0,0,0,0,0,6.0,1.0,0.0,0,0,0,0,0
